acc,superkingdom,phylum
AEA30274.1,NA,NA
AEA30274.1,NA,NA
CAJ34375.1,NA,NA
CAJ34375.1,NA,NA
AAO55665.1,NA,NA
AAO55665.1,NA,NA
AAA92015.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
CAA67248.1,NA,NA
CAA67248.1,NA,NA
AAY29580.1,NA,NA
AAY29580.1,NA,NA
AAY29580.1,NA,NA
AAY29580.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
WP_057667184.1,NA,NA
WP_057667184.1,NA,NA
AAO23334.1,NA,NA
AAO23334.1,NA,NA
AAO23334.1,NA,NA
BAH31686.1,NA,NA
BAH31686.1,NA,NA
BAH31686.1,NA,NA
BAH31686.1,NA,NA
BAH33409.1,NA,NA
BAH33409.1,NA,NA
BAH33409.1,NA,NA
AFR69334.1,NA,NA
AFR69334.1,NA,NA
AFR69334.1,NA,NA
AIS24862.1,NA,NA
CCJ67636.1,NA,NA
CCJ67636.1,NA,NA
CCJ67636.1,NA,NA
CCJ67637.1,NA,NA
CCJ67637.1,NA,NA
CCJ67637.1,NA,NA
CCJ67638.1,NA,NA
CCJ67638.1,NA,NA
CCJ67638.1,NA,NA
CCJ67639.1,NA,NA
CCJ67639.1,NA,NA
CCJ67639.1,NA,NA
CCJ67640.1,NA,NA
CCJ67640.1,NA,NA
CCJ67640.1,NA,NA
CCJ67640.1,NA,NA
CCJ67640.1,NA,NA
CCJ67640.1,NA,NA
CAB55600.1,NA,NA
CAB55600.1,NA,NA
CAB55600.1,NA,NA
CAB55600.1,NA,NA
BAP16684.1,NA,NA
BAP16697.1,NA,NA
BAP16693.1,NA,NA
BAP16699.1,NA,NA
BAP16689.1,NA,NA
AFH75320.1,NA,NA
AFH75320.1,NA,NA
AFH75320.1,NA,NA
AFH75320.1,NA,NA
AFH75320.1,NA,NA
AFH75320.1,NA,NA
AFH75321.1,NA,NA
AFH75321.1,NA,NA
AFH75321.1,NA,NA
AFH75321.1,NA,NA
AFH75321.1,NA,NA
AFH75321.1,NA,NA
AFH75322.1,NA,NA
AFH75322.1,NA,NA
AFH75322.1,NA,NA
AFH75322.1,NA,NA
AFH75322.1,NA,NA
AFH75322.1,NA,NA
CDF96614.1,NA,NA
CDF96614.1,NA,NA
AGM16412.1,NA,NA
AGM16412.1,NA,NA
AGM16412.1,NA,NA
AGM16412.1,NA,NA
AGM16412.1,NA,NA
AGM16413.1,NA,NA
AGM16413.1,NA,NA
AGM16413.1,NA,NA
AGM16413.1,NA,NA
AGM16413.1,NA,NA
AGM16414.1,NA,NA
AGM16414.1,NA,NA
AGM16414.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
YP_631961.1,NA,NA
EFE73312.1,NA,NA
EFE73312.1,NA,NA
EFE73312.1,NA,NA
EFE73312.1,NA,NA
EFE73312.1,NA,NA
AHB82069.1,NA,NA
AHB82071.1,NA,NA
AHB82071.1,NA,NA
AHB82071.1,NA,NA
AHB82072.1,NA,NA
AGZ15455.1,NA,NA
AGZ15458.1,NA,NA
AGZ15458.1,NA,NA
AGZ15459.1,NA,NA
AGZ15459.1,NA,NA
AGZ15460.1,NA,NA
AGZ15476.1,NA,NA
EFE73313.1,NA,NA
EFE73313.1,NA,NA
EFE73313.1,NA,NA
CBG75492.1,NA,NA
CBG75492.1,NA,NA
CBG75492.1,NA,NA
CBG75492.1,NA,NA
CBG75492.1,NA,NA
EWS95122.1,NA,NA
EWS95122.1,NA,NA
AHZ34232.1,NA,NA
AHZ34232.1,NA,NA
AHZ34232.1,NA,NA
AHZ34233.1,NA,NA
AHZ34233.1,NA,NA
AHZ34233.1,NA,NA
