acc,superkingdom,phylum
ABL74939.1,NA,NA
ABL74940.1,NA,NA
ABL74940.1,NA,NA
ABL74945.1,NA,NA
ABL74945.1,NA,NA
CAL69597.1,NA,NA
ADH04641.1,NA,NA
ADC79642.1,NA,NA
CCM44336.1,NA,NA
CCM44336.1,NA,NA
CCM44336.1,NA,NA
CCM44336.1,NA,NA
CCM44337.1,NA,NA
CCM44337.1,NA,NA
ACG60772.1,NA,NA
ACG60772.1,NA,NA
ACG60773.1,NA,NA
ACG60776.1,NA,NA
ACG60776.1,NA,NA
ACG60778.1,NA,NA
ACG60782.1,NA,NA
ACG60782.1,NA,NA
ACG60771.1,NA,NA
CAN89638.1,NA,NA
CAN89633.1,NA,NA
ADA69239.2,NA,NA
ADA69239.2,NA,NA
ADM34138.1,NA,NA
ADM34138.1,NA,NA
AGS06887.1,NA,NA
ADD82940.1,NA,NA
ADA82585.1,NA,NA
CCA89326.1,NA,NA
CCA89328.1,NA,NA
ABQ96384.2,NA,NA
ABQ96384.2,NA,NA
ABQ96384.2,NA,NA
ABQ96384.2,NA,NA
ABQ96384.2,NA,NA
ABQ96384.2,NA,NA
AEZ51516.1,NA,NA
AEZ51516.1,NA,NA
AEZ51516.1,NA,NA
AEZ51516.1,NA,NA
AEZ51517.1,NA,NA
AEZ51520.1,NA,NA
AEZ51520.1,NA,NA
AEZ51520.1,NA,NA
AEZ51520.1,NA,NA
AEZ51520.1,NA,NA
AGE25479.1,NA,NA
AGE25479.1,NA,NA
AGE25479.1,NA,NA
AGE25479.1,NA,NA
AGE25480.1,NA,NA
AGE25480.1,NA,NA
AGE25480.1,NA,NA
AGE25480.1,NA,NA
AGE26255.1,NA,NA
AGE26255.1,NA,NA
ABS75234.1,NA,NA
ABS75232.1,NA,NA
ABS75232.1,NA,NA
AKL78825.1,NA,NA
WP_028678148.1,NA,NA
WP_028678148.1,NA,NA
WP_028678149.1,NA,NA
WP_028678149.1,NA,NA
WP_030498974.1,NA,NA
WP_030498977.1,NA,NA
WP_052165466.1,NA,NA
EWM63002.1,NA,NA
EWM63005.1,NA,NA
EWM63007.1,NA,NA
WP_053065269.1,NA,NA
WP_053065269.1,NA,NA
WP_053065270.1,NA,NA
WP_019032753.1,NA,NA
WP_019032755.1,NA,NA
WP_019032755.1,NA,NA
AOA33121.1,NA,NA
AOA33121.1,NA,NA
AOA33122.1,NA,NA
AOA33122.1,NA,NA
AOA33122.1,NA,NA
AOA33122.1,NA,NA
AOA33123.1,NA,NA
AOA33123.1,NA,NA
ANQ43347.1,NA,NA
ANQ43347.1,NA,NA
ANQ43348.1,NA,NA
ANQ43348.1,NA,NA
ANQ43348.1,NA,NA
ANQ43348.1,NA,NA
ANQ43349.1,NA,NA
ANQ43349.1,NA,NA
ANQ43349.1,NA,NA
ANQ43349.1,NA,NA
AQZ26587.1,NA,NA
AQZ26587.1,NA,NA
ATJ34002.1,NA,NA
ATJ34005.1,NA,NA
WP_019634550.1,NA,NA
ARU08063.1,NA,NA
ARU08073.1,NA,NA
ARU08073.1,NA,NA
ARU08074.1,NA,NA
ARU08074.1,NA,NA
ARU08074.1,NA,NA
ARU08074.1,NA,NA
ARU08074.1,NA,NA
ARU08075.1,NA,NA
ARU08075.1,NA,NA
AEO57481.1,NA,NA
WP_051206727.1,NA,NA
WP_081656241.1,NA,NA
RAT94090.1,NA,NA
RAT94090.1,NA,NA
RAT94090.1,NA,NA
RAT94090.1,NA,NA
RAT94090.1,NA,NA
RAT94091.1,NA,NA
AVV61987.1,NA,NA
ACC81021.1,NA,NA
ACC81021.1,NA,NA
